Date, Close/Last, Volume, Open, High, Low
08/14/2020, $391.42, 648605, $388.64, $394.2, $388.02
08/13/2020, $389.24, 1053647, $390.35, $394.05, $387
08/12/2020, $392.44, 878821, $394.02, $396.52, $391.29
08/11/2020, $391.96, 1312906, $391.51, $399.49, $391.33
08/10/2020, $389.26, 856011, $386.02, $391.11, $385.96
08/07/2020, $385.62, 924890, $380.01, $386.66, $378.76
08/06/2020, $379.74, 698536, $381.78, $383.19, $378.09
08/05/2020, $383.5, 1018673, $380, $384.87, $378.27
08/04/2020, $377.99, 900732, $379.08, $380.8424, $376.29
08/03/2020, $377.1, 923365, $376.84, $378.41, $371.44
07/31/2020, $378.97, 1101905, $380.55, $381.37, $373.675
07/30/2020, $381.72, 983373, $382.71, $385.844, $380.86
07/29/2020, $387.3, 1209630, $389.56, $390.4701, $384.63
07/28/2020, $386.66, 1132400, $382, $390.21, $382
07/27/2020, $382.09, 1047198, $384.73, $385.99, $380.11
07/24/2020, $386.21, 1305844, $388, $393.49, $383.61
07/23/2020, $387.62, 1442823, $393.77, $394.15, $385.71
07/22/2020, $394.08, 2280690, $376.71, $394.67, $375.6159
07/21/2020, $375.12, 1998090, $377.98, $378.9, $370.58
07/20/2020, $365.53, 1444498, $369, $369, $362.427
07/17/2020, $368.5, 1137227, $366.3, $369, $362.85
07/16/2020, $365.88, 955809, $362.3, $365.94, $359.02
07/15/2020, $364.56, 1617526, $361.64, $365.58, $360.56
07/14/2020, $355.66, 1651882, $349.13, $355.92, $349
07/13/2020, $353.06, 2031471, $353.6, $357.02, $348.6006
07/10/2020, $349.25, 1514159, $342.33, $349.33, $341.66
07/09/2020, $339.96, 1823849, $348, $349.485, $339.18
07/08/2020, $350.23, 1965068, $353.5, $357.3, $348.63
07/07/2020, $353.27, 1395868, $362.59, $362.9225, $352.78
07/06/2020, $362.59, 1202394, $366.48, $367.115, $360.84
07/02/2020, $362, 1395968, $363.53, $366.0699, $360.69
07/01/2020, $360.42, 1430254, $366.34, $368.29, $360.31
06/30/2020, $364.92, 1482412, $365.35, $367.25, $362.41
06/29/2020, $367.5, 1073214, $360.39, $367.5, $359.49
06/26/2020, $356.76, 2008720, $359.56, $367.42, $355.01
06/25/2020, $362.82, 1391683, $357.86, $363.31, $353.33
06/24/2020, $359.82, 2302816, $370.9, $371.23, $358.32
06/23/2020, $371.7, 1469289, $378.25, $378.78, $371.0375
06/22/2020, $375.96, 1370570, $372.26, $376.84, $370.44
06/19/2020, $372.2, 4318735, $383.34, $383.59, $372
06/18/2020, $378.39, 1561989, $379.68, $381.32, $376.07
06/17/2020, $382.11, 1519042, $382.5, $386.235, $376.92
06/16/2020, $382.77, 2038769, $386.56, $391.79, $379.58
06/15/2020, $373.28, 2273477, $373.28, $377.1525, $367.5501
06/12/2020, $381.87, 1788398, $393.33, $394.425, $376.47
06/11/2020, $383.88, 1698839, $392.69, $397.31, $383.57
06/10/2020, $403.77, 1188244, $406.5, $409.095, $403.4503
06/09/2020, $408.56, 1188452, $410.53, $411.94, $407
06/08/2020, $414.3, 1294898, $415, $417.62, $411.745
06/05/2020, $410.75, 1702784, $410, $416, $406.45
06/04/2020, $403.67, 1261970, $401.78, $404.8697, $399
06/03/2020, $402.63, 1382257, $393.65, $403.6, $392.59
06/02/2020, $389.77, 1404816, $388.64, $393.23, $386.99
06/01/2020, $388.96, 1090489, $388.94, $394, $387.31
05/29/2020, $388.44, 1734084, $396.04, $396.235, $384.77
05/28/2020, $398.44, 1488858, $401.46, $404.2619, $398.16
05/27/2020, $397.12, 1986894, $376.78, $397.12, $376.575
05/26/2020, $372.2, 1596081, $376.95, $376.95, $370.57
05/22/2020, $369, 752632, $369.86, $370.1595, $365.62
05/21/2020, $368.82, 1179171, $362.69, $370.025, $362.6
05/20/2020, $362.51, 1880508, $372.44, $374, $362.11
05/19/2020, $371.48, 1087518, $378.07, $382.46, $371.24
05/18/2020, $377.54, 1879761, $371.21, $380.4921, $366.02
05/15/2020, $360.4, 1854733, $352.53, $361.51, $352.32
05/14/2020, $356.28, 1776414, $360.99, $361.54, $352.26
05/13/2020, $364.18, 1287444, $371.28, $372.46, $362.01
05/12/2020, $371.11, 1448022, $378, $382.44, $371.03
05/11/2020, $376.56, 1288199, $375, $379.5, $374.14
05/08/2020, $378.4, 1130673, $378.03, $381.13, $376.25
05/07/2020, $376.54, 1462008, $383.01, $384.13, $376
05/06/2020, $378.58, 1089821, $390.89, $390.89, $378.41
05/05/2020, $390.3, 1271196, $382.41, $392.78, $381.59
05/04/2020, $380.16, 1078298, $382.02, $382.97, $374.13
05/01/2020, $383.47, 911670, $385.64, $387.41, $381.09
04/30/2020, $389.06, 1343303, $383.1, $391.44, $380.44
04/29/2020, $387.91, 1500637, $388.16, $393.506, $379.5
04/28/2020, $384.73, 1314033, $381.86, $387.83, $380.42
04/27/2020, $378.57, 1457366, $383.91, $384.04, $378
04/24/2020, $381.77, 1029269, $378.72, $384.057, $372.9798
04/23/2020, $376.73, 1164387, $382.75, $384.8671, $376.185
04/22/2020, $380.4, 1188744, $383.49, $383.94, $375.328
04/21/2020, $373.44, 2041994, $383.01, $392.54, $371.01
04/20/2020, $383.21, 1487184, $394.08, $399.968, $383.21
04/17/2020, $401.51, 1768381, $387.42, $402.45, $384.83
04/16/2020, $377.88, 1568405, $373.61, $381.295, $372.5001
