Date, Close/Last, Volume, Open, High, Low
8/14/2020,"$1,650.71 ",12577610,"$1,664.99 ","$1,668.80 ","$1,626.64 "
8/13/2020,"$1,621 ",20425310,"$1,611 ","$1,651.18 ","$1,567.26 "
8/12/2020,"$1,554.76 ",21898830,"$1,470 ","$1,585 ","$1,435 "
8/11/2020,"$1,374.39 ",8625834,"$1,396 ","$1,420 ","$1,365 "
8/10/2020,"$1,418.57 ",7522264,"$1,448 ","$1,457.50 ","$1,385.84 "
8/7/2020,"$1,452.71 ",8896420,"$1,499.54 ","$1,499.75 ","$1,415.01 "
8/6/2020,"$1,489.58 ",5992313,"$1,490.83 ","$1,517.31 ","$1,477.26 "
8/5/2020,"$1,485.02 ",4978015,"$1,492.99 ","$1,499.84 ","$1,468.31 "
8/4/2020,"$1,487 ",8414990,"$1,495.01 ","$1,527.41 ","$1,462 "
8/3/2020,"$1,485 ",8809346,"$1,449.20 ","$1,509.81 ","$1,444.38 "
7/31/2020,"$1,430.76 ",12246960,"$1,515 ","$1,517.05 ","$1,420.98 "
7/30/2020,"$1,487.49 ",7621039,"$1,488 ","$1,513.24 ","$1,471 "
7/29/2020,"$1,499.11 ",9426893,"$1,501 ","$1,534.81 ","$1,487 "
7/28/2020,"$1,476.49 ",15808700,"$1,504 ","$1,564.70 ","$1,474.42 "
7/27/2020,"$1,539.60 ",16048670,"$1,435 ","$1,547.94 ","$1,413.00 "
7/24/2020,"$1,417 ",19396620,"$1,416.01 ","$1,465 ","$1,366.54 "
7/23/2020,"$1,513.07 ",24328500,"$1,678.95 ","$1,689 ","$1,480.77 "
7/22/2020,"$1,592.33 ",14161080,"$1,599 ","$1,626.42 ","$1,562 "
7/21/2020,"$1,568.36 ",16157280,"$1,639.93 ","$1,675 ","$1,558 "
7/20/2020,"$1,643 ",17121370,"$1,519.01 ","$1,650 ","$1,488 "
7/17/2020,"$1,500.84 ",9329972,"$1,513.45 ","$1,537.51 ","$1,490 "
7/16/2020,"$1,500.64 ",14300790,"$1,477.16 ","$1,531.71 ","$1,466 "
7/15/2020,"$1,546.01 ",16367830,"$1,543 ","$1,550 ","$1,457 "
7/14/2020,"$1,516.80 ",23418140,"$1,556 ","$1,590 ","$1,431 "
7/13/2020,"$1,497.06 ",38985360,"$1,659 ","$1,794.99 ","$1,471.11 "
7/10/2020,"$1,544.65 ",23337550,"$1,396 ","$1,548.92 ","$1,376.01 "
7/9/2020,"$1,394.28 ",11717600,"$1,396.99 ","$1,408.56 ","$1,351.28 "
7/8/2020,"$1,365.88 ",16311310,"$1,405 ","$1,417.26 ","$1,311.34 "
7/7/2020,"$1,389.86 ",21489660,"$1,405.01 ","$1,429.50 ","$1,336.71 "
7/6/2020,"$1,371.58 ",20569860,"$1,276.69 ","$1,377.79 ","$1,266.04 "
7/2/2020,"$1,208.66 ",17250120,"$1,221.48 ","$1,228 ","$1,185.60 "
7/1/2020,"$1,119.63 ",13326900,"$1,083 ","$1,135.33 ","$1,080.50 "
6/30/2020,"$1,079.81 ",16918500,"$1,006.50 ","$1,087.69 ","$1,003.73 "
6/29/2020,"$1,009.35 ",9026404,$969.01 ,"$1,010 ",$948.52 
6/26/2020,$959.74 ,8854908,$994.78 ,$995 ,$954.87 
6/25/2020,$985.98 ,9254549,$954.27 ,$985.98 ,$937.15 
